002128,2,1100,3
600497,2,5000,3
601666,2,2000,3
600789,2,1500,3
000878,2,1000,3
000525,2,500,3
000681,2,300,3
000060,2,2000,3
002136,2,200,4
601001,2,2000,3
300133,2,500,4
600508,2,500,4
601101,2,1500,3
000983,2,5000,3
600395,2,1500,3
600720,2,1000,4
000603,2,500,3
300004,2,500,3
000630,2,10000,3
600282,2,10000,3
300343,2,500,3
300253,2,1000,3
600596,2,1000,4
600409,2,2000,3
601898,2,3000,4
000937,2,5000,3
600449,2,500,3
000552,2,2000,3
600170,2,8000,3
000751,2,2000,3
002644,2,400,3
002727,2,200,4
000989,2,300,3
600966,2,1500,3
300027,2,2000,3
600352,2,3000,3
002309,2,500,3
000729,2,2000,3
000876,2,3000,3
000425,2,10000,3
600727,2,300,3
002666,2,2000,3
300651,3,200,3
300651,3,200,3
601985,2,5000,3
603877,3,200,3
600606,2,5000,3
600180,2,500,3
600643,2,1500,3
601952,2,1000,3
600996,2,500,3
603196,2,400,3
600810,2,500,4
600851,2,700,3
002828,2,250,3
600845,2,300,4
002428,2,1000,3
300212,3,200,4
600308,2,1000,3
600299,2,400,3
000528,2,900,3
603167,2,500,3
